id,condition_type,task_order,informative_task_index,normative_task_index,is_assigned,assigned_participant_id,assigned_at,created_at
1,majority,informativeFirst,0,0,true,32b70b37-a395-44f7-af56-31268be200c4,2025-09-09 14:43:43.050009+00,2025-09-05 08:18:37.792159+00
2,minority,normativeFirst,1,0,true,c724fed7-5bb1-4e16-972d-c7dbac7ba34e,2025-09-09 14:43:54.726724+00,2025-09-05 08:18:37.792159+00
3,minorityDiffusion,informativeFirst,2,1,true,871d350b-2da5-4cf0-8a7a-c2dc88bb4803,2025-09-09 14:44:16.470157+00,2025-09-05 08:18:37.792159+00
4,majority,normativeFirst,3,1,true,3794c56c-dffa-48cd-b926-e7a6b094f258,2025-09-09 14:44:42.22226+00,2025-09-05 08:18:37.792159+00
5,minority,informativeFirst,4,2,true,2648d04c-6732-41ba-a408-acd2a3ec32e7,2025-09-09 14:45:19.336062+00,2025-09-05 08:18:37.792159+00
6,minorityDiffusion,normativeFirst,5,2,true,4a257cd1-8d04-4b90-a741-5745fa88f51a,2025-09-09 14:45:56.170288+00,2025-09-05 08:18:37.792159+00
7,majority,informativeFirst,0,3,true,cef7f64b-9637-4193-bdd6-c9943b06c56a,2025-09-09 14:46:11.56722+00,2025-09-05 08:18:37.792159+00
8,minority,normativeFirst,1,3,true,84960d02-7dc3-43a3-b2e1-a945f23d90f0,2025-09-09 14:46:19.819102+00,2025-09-05 08:18:37.792159+00
9,minorityDiffusion,informativeFirst,2,4,true,531f9ad6-bffe-44e4-a4f4-e115908912f6,2025-09-09 14:46:55.737848+00,2025-09-05 08:18:37.792159+00
10,majority,normativeFirst,3,4,true,cfff5380-ac7a-474b-b789-c9210b78dd2b,2025-09-09 14:47:19.654272+00,2025-09-05 08:18:37.792159+00
11,minority,informativeFirst,4,5,true,b121bfe8-f8b7-48fc-af14-f99c15aedc62,2025-09-09 15:37:25.164784+00,2025-09-05 08:18:37.792159+00
12,minorityDiffusion,normativeFirst,5,5,true,3602b073-9f84-4bd3-a681-ea302ad6a1bf,2025-09-09 14:47:25.873258+00,2025-09-05 08:18:37.792159+00
13,majority,informativeFirst,0,0,true,21b14e1e-73cd-4390-af56-e404b575742d,2025-09-09 14:47:26.220395+00,2025-09-05 08:18:37.792159+00
14,minority,normativeFirst,1,0,true,eda76aba-529a-4bba-a2de-ccddec750d17,2025-09-09 14:47:39.83745+00,2025-09-05 08:18:37.792159+00
15,minorityDiffusion,informativeFirst,2,1,true,5b6a5a77-da0a-4cc4-b5fe-dbf17496f7df,2025-09-09 14:47:57.958558+00,2025-09-05 08:18:37.792159+00
16,majority,normativeFirst,3,1,true,5d934fc1-711c-402b-ac91-17e8e7f9b263,2025-09-09 14:49:39.42788+00,2025-09-05 08:18:37.792159+00
17,minority,informativeFirst,4,2,true,1e550f61-e86f-4792-9766-7a50fd3332e3,2025-09-09 17:20:37.881188+00,2025-09-05 08:18:37.792159+00
18,minorityDiffusion,normativeFirst,5,2,true,0970deef-da21-4b37-bddf-814b4a94c050,2025-09-09 17:18:37.884133+00,2025-09-05 08:18:37.792159+00
19,majority,informativeFirst,0,3,true,37434cb2-4371-4c88-93e7-ba80a6511ca3,2025-09-09 14:50:33.860489+00,2025-09-05 08:18:37.792159+00
20,minority,normativeFirst,1,3,true,74c9f1d7-3521-444e-9345-c995a33dc27a,2025-09-09 14:50:39.799015+00,2025-09-05 08:18:37.792159+00
21,minorityDiffusion,informativeFirst,2,4,true,66a31a6c-cd36-4668-b475-44db5f8dae1e,2025-09-09 14:51:35.010056+00,2025-09-05 08:18:37.792159+00
22,majority,normativeFirst,3,4,true,828a3c44-961f-434e-948b-36a0dfc6cfe7,2025-09-09 14:52:00.641222+00,2025-09-05 08:18:37.792159+00
23,minority,informativeFirst,4,5,true,53a97c91-f20c-45e2-bb24-3de3bf2f48a9,2025-09-09 14:52:12.417812+00,2025-09-05 08:18:37.792159+00
24,minorityDiffusion,normativeFirst,5,5,true,4fc031df-bd76-4619-affa-8dcd30c6c748,2025-09-09 14:53:40.89792+00,2025-09-05 08:18:37.792159+00
25,majority,informativeFirst,0,0,true,873bb404-396b-4a21-bd83-ad7dd1a10af9,2025-09-09 14:55:56.290119+00,2025-09-05 08:18:37.792159+00
26,minority,normativeFirst,1,0,true,68e6e5f1-1440-4cb4-bef8-4a7009a19b5c,2025-09-09 14:58:20.591174+00,2025-09-05 08:18:37.792159+00
27,minorityDiffusion,informativeFirst,2,1,true,4ef00beb-110b-4d54-9b31-ecd001440d8a,2025-09-09 15:06:52.498652+00,2025-09-05 08:18:37.792159+00
28,majority,normativeFirst,3,1,true,32675228-78fc-4a45-91cb-6e2abd39ca5f,2025-09-09 15:00:39.293058+00,2025-09-05 08:18:37.792159+00
29,minority,informativeFirst,4,2,true,f3619e69-7a0a-47bd-a00f-daed6fc2ce92,2025-09-09 15:07:40.860816+00,2025-09-05 08:18:37.792159+00
30,minorityDiffusion,normativeFirst,5,2,true,cef9291c-661f-4221-a4f2-9d8bf16fb111,2025-09-09 15:12:49.749786+00,2025-09-05 08:18:37.792159+00
31,majority,informativeFirst,0,3,true,85df1458-9ca6-4192-8023-967795afee8f,2025-09-09 15:13:07.978209+00,2025-09-05 08:18:37.792159+00
32,minority,normativeFirst,1,3,true,b784e7ca-736e-44db-a3f3-2cd2f86c2d68,2025-09-09 17:18:38.289154+00,2025-09-05 08:18:37.792159+00
33,minorityDiffusion,informativeFirst,2,4,true,5083f919-a4ef-4433-af16-5489ead1ea4e,2025-09-09 17:18:42.999268+00,2025-09-05 08:18:37.792159+00
34,majority,normativeFirst,3,4,true,bb3bf185-23ab-460f-8e39-e7bcd54eb3f9,2025-09-09 17:18:44.579075+00,2025-09-05 08:18:37.792159+00
35,minority,informativeFirst,4,5,true,5d1b61d5-a2f2-44bd-a128-edf1f61bd715,2025-09-09 17:18:44.680208+00,2025-09-05 08:18:37.792159+00
36,minorityDiffusion,normativeFirst,5,5,true,aa5e0dc7-39c5-43aa-b82b-ef78f2b133c4,2025-09-09 17:19:45.156401+00,2025-09-05 08:18:37.792159+00
37,majority,informativeFirst,0,0,true,858e5a85-eb83-448d-a58c-c7974a70b99e,2025-09-09 17:18:49.457309+00,2025-09-05 08:18:37.792159+00
38,minority,normativeFirst,1,0,true,32539ad3-ad81-4f6f-8e57-de29a6edae93,2025-09-09 17:22:07.338738+00,2025-09-05 08:18:37.792159+00
39,minorityDiffusion,informativeFirst,2,1,true,50c64a07-874c-462f-9770-2562cd4f2890,2025-09-09 17:18:54.899317+00,2025-09-05 08:18:37.792159+00
40,majority,normativeFirst,3,1,true,918d8839-cfa1-43d5-87d8-24f1600592b6,2025-09-09 17:18:55.610431+00,2025-09-05 08:18:37.792159+00
41,minority,informativeFirst,4,2,true,a070fecf-acb3-4d27-abe1-e6739b8537f3,2025-09-09 17:21:12.046197+00,2025-09-05 08:18:37.792159+00
42,minorityDiffusion,normativeFirst,5,2,true,76c4e229-7446-48aa-9461-ec0a87415b29,2025-09-09 17:19:03.277455+00,2025-09-05 08:18:37.792159+00
43,majority,informativeFirst,0,3,true,0930edef-2039-45fa-bf45-2ae4dec11438,2025-09-09 17:19:04.878821+00,2025-09-05 08:18:37.792159+00
44,minority,normativeFirst,1,3,true,2f6754e3-91f8-42c4-8052-4680060616bb,2025-09-09 18:04:54.636256+00,2025-09-05 08:18:37.792159+00
45,minorityDiffusion,informativeFirst,2,4,true,e7bee9a5-10ae-426c-8b08-27934b9281bb,2025-09-09 17:19:07.402394+00,2025-09-05 08:18:37.792159+00
46,majority,normativeFirst,3,4,true,5390b6eb-1261-4376-8663-e7c71c700f28,2025-09-09 17:19:09.761283+00,2025-09-05 08:18:37.792159+00
47,minority,informativeFirst,4,5,true,5cc0e14d-5fe2-4447-b4ca-5994e3e10831,2025-09-09 18:36:55.620399+00,2025-09-05 08:18:37.792159+00
48,minorityDiffusion,normativeFirst,5,5,true,586f1871-adb3-424f-b2e5-45545395dc93,2025-09-09 17:19:34.439475+00,2025-09-05 08:18:37.792159+00
49,majority,informativeFirst,0,0,true,69268d3f-39bc-4530-924b-d854ebbd35e4,2025-09-09 17:19:41.447792+00,2025-09-05 08:18:37.792159+00
50,minority,normativeFirst,1,0,true,134c2569-bfe7-414e-86a0-d3b3f948f5e9,2025-09-09 18:17:42.252135+00,2025-09-05 08:18:37.792159+00
51,minorityDiffusion,informativeFirst,2,1,true,07d88852-7da1-4eaa-9413-468d15f8dc10,2025-09-09 17:23:45.698756+00,2025-09-05 08:18:37.792159+00
52,majority,normativeFirst,3,1,true,0ddcc4f5-84cf-4232-91c2-55d084eda6e9,2025-09-09 17:20:10.806751+00,2025-09-05 08:18:37.792159+00
53,minority,informativeFirst,4,2,true,bf38b76e-3b5d-4be2-8904-0f30398f1aca,2025-09-09 17:25:52.256172+00,2025-09-05 08:18:37.792159+00
54,minorityDiffusion,normativeFirst,5,2,true,14bf7228-fadd-491c-8cc4-c74dd4c3fba6,2025-09-09 17:20:17.955168+00,2025-09-05 08:18:37.792159+00
55,majority,informativeFirst,0,3,true,5b8f16c2-2f78-4373-bfd4-ac0f18f371e5,2025-09-09 17:44:59.044794+00,2025-09-05 08:18:37.792159+00
56,minority,normativeFirst,1,3,true,75db1808-af29-4ad0-bee6-29558574533b,2025-09-09 17:20:49.607385+00,2025-09-05 08:18:37.792159+00
57,minorityDiffusion,informativeFirst,2,4,true,c1490d5a-63eb-43c8-8b70-aac901fc51d7,2025-09-09 17:49:51.057596+00,2025-09-05 08:18:37.792159+00
58,majority,normativeFirst,3,4,true,fcc2cd74-0d9d-4548-bfb0-15d9b696452e,2025-09-09 17:51:02.516801+00,2025-09-05 08:18:37.792159+00
59,minority,informativeFirst,4,5,true,6ae81c9a-e082-4873-ae39-7c0f54a06c50,2025-09-09 17:20:51.646284+00,2025-09-05 08:18:37.792159+00
60,minorityDiffusion,normativeFirst,5,5,true,93c35761-c7dd-49aa-94f9-6420fc5f0b78,2025-09-09 17:20:58.287353+00,2025-09-05 08:18:37.792159+00
61,majority,informativeFirst,0,0,true,5ee36000-9570-49d1-9020-94e47b4fc598,2025-09-09 17:21:04.945373+00,2025-09-05 08:18:37.792159+00
62,minority,normativeFirst,1,0,true,eae01319-0414-4f8b-b125-d4487bbeda7f,2025-09-09 17:21:12.66538+00,2025-09-05 08:18:37.792159+00
63,minorityDiffusion,informativeFirst,2,1,true,1b52f199-6ea6-4a97-bcae-73fadd8581e3,2025-09-09 17:28:46.627269+00,2025-09-05 08:18:37.792159+00
64,majority,normativeFirst,3,1,true,9d180490-c5b0-4d42-839f-a978a6afa540,2025-09-09 17:21:18.789739+00,2025-09-05 08:18:37.792159+00
65,minority,informativeFirst,4,2,true,e1941179-3705-4639-b6ce-ec82c3a00c66,2025-09-09 17:27:02.362391+00,2025-09-05 08:18:37.792159+00
66,minorityDiffusion,normativeFirst,5,2,true,dcd1ed62-d5a6-4302-a597-724e85fa3a91,2025-09-09 17:21:29.586494+00,2025-09-05 08:18:37.792159+00
67,majority,informativeFirst,0,3,true,9d0abbe5-a06d-4ded-ad7b-5ee1139b84c9,2025-09-09 17:21:30.165722+00,2025-09-05 08:18:37.792159+00
68,minority,normativeFirst,1,3,true,7bbeecf7-33a6-4f95-b1f7-1b17b79f0b72,2025-09-09 17:21:34.72009+00,2025-09-05 08:18:37.792159+00
69,minorityDiffusion,informativeFirst,2,4,true,a06d8bf2-816c-48a8-b4fe-03c79b290a30,2025-09-09 17:21:46.82107+00,2025-09-05 08:18:37.792159+00
70,majority,normativeFirst,3,4,true,ab008076-6538-4925-beb0-9c2ac8259d81,2025-09-09 17:21:59.13751+00,2025-09-05 08:18:37.792159+00
71,minority,informativeFirst,4,5,true,9b21942f-17c3-4406-b78e-79d5b9a591bf,2025-09-09 17:52:58.418559+00,2025-09-05 08:18:37.792159+00
72,minorityDiffusion,normativeFirst,5,5,true,7ed3a914-8b04-43a8-b4a3-40a88e6eb270,2025-09-09 18:27:47.504461+00,2025-09-05 08:18:37.792159+00
73,majority,informativeFirst,0,0,true,1956d093-8877-452f-b605-d6975cedbfa9,2025-09-09 17:22:29.540732+00,2025-09-05 08:18:37.792159+00
74,minority,normativeFirst,1,0,true,e9735720-d13d-47c9-99f1-be9ec8418a61,2025-09-09 17:22:42.88613+00,2025-09-05 08:18:37.792159+00
75,minorityDiffusion,informativeFirst,2,1,true,00f48994-a285-4631-9696-edbecccdbd14,2025-09-09 17:23:08.664355+00,2025-09-05 08:18:37.792159+00
76,majority,normativeFirst,3,1,true,cd24dfc7-ab58-4701-8060-636ce24d286e,2025-09-09 17:23:10.946873+00,2025-09-05 08:18:37.792159+00
77,minority,informativeFirst,4,2,true,889464d6-cce9-4e14-8ceb-032f3a0abf0c,2025-09-09 17:23:15.455453+00,2025-09-05 08:18:37.792159+00
78,minorityDiffusion,normativeFirst,5,2,true,f648a570-513c-4482-9932-71c78717586c,2025-09-09 17:23:33.217157+00,2025-09-05 08:18:37.792159+00
79,majority,informativeFirst,0,3,true,6e51d200-d884-4119-8396-68494a7ddf3f,2025-09-09 17:23:41.144131+00,2025-09-05 08:18:37.792159+00
80,minority,normativeFirst,1,3,true,77c2f6c1-59bb-4529-b4bd-95947c8939bb,2025-09-09 17:24:01.653066+00,2025-09-05 08:18:37.792159+00
81,minorityDiffusion,informativeFirst,2,4,true,e817f2b7-c7dd-4cff-9367-138be05feaaf,2025-09-09 17:24:30.923536+00,2025-09-05 08:18:37.792159+00
82,majority,normativeFirst,3,4,true,b532a2a0-cb98-42dc-b522-088859f7b0c5,2025-09-09 17:24:48.916896+00,2025-09-05 08:18:37.792159+00
83,minority,informativeFirst,4,5,true,206652aa-efa6-46bb-8a66-bc2718a52ce6,2025-09-09 17:58:54.81047+00,2025-09-05 08:18:37.792159+00
84,minorityDiffusion,normativeFirst,5,5,true,c5c5f9a8-56b2-47cb-ba19-8c86e4b86f3b,2025-09-09 17:24:56.315328+00,2025-09-05 08:18:37.792159+00
85,majority,informativeFirst,0,0,true,5113d9f7-3fef-4ec8-8a2d-d3d2eb771a9e,2025-09-09 17:25:00.604407+00,2025-09-05 08:18:37.792159+00
86,minority,normativeFirst,1,0,true,dc4e73f1-4cf5-47ea-a5b9-d58eaaf436e3,2025-09-09 17:25:05.426943+00,2025-09-05 08:18:37.792159+00
87,minorityDiffusion,informativeFirst,2,1,true,09b9e45a-2dad-4776-8f63-9a5ff5189f5f,2025-09-09 17:25:16.372315+00,2025-09-05 08:18:37.792159+00
88,majority,normativeFirst,3,1,true,43767e66-41d2-4d39-ab15-55bb730cb0ed,2025-09-09 17:27:11.616337+00,2025-09-05 08:18:37.792159+00
89,minority,informativeFirst,4,2,true,ae1e82c8-04e8-4d42-9f19-a2f3c1e789df,2025-09-09 17:27:13.186528+00,2025-09-05 08:18:37.792159+00
90,minorityDiffusion,normativeFirst,5,2,true,cda01786-9a32-4292-8f0d-2b2717a685d4,2025-09-09 17:27:26.432024+00,2025-09-05 08:18:37.792159+00
91,majority,informativeFirst,0,3,true,7828fa6e-2064-4d65-a533-7b743e1b3430,2025-09-09 17:27:33.75679+00,2025-09-05 08:18:37.792159+00
92,minority,normativeFirst,1,3,true,6d1797b0-a111-47d7-be49-735a3794db00,2025-09-09 17:53:36.443788+00,2025-09-05 08:18:37.792159+00
93,minorityDiffusion,informativeFirst,2,4,true,9a87156c-e259-4496-8112-91c616f9a63e,2025-09-09 17:27:36.310433+00,2025-09-05 08:18:37.792159+00
94,majority,normativeFirst,3,4,true,520fac17-1bfc-4435-90f5-9cde743aeceb,2025-09-09 17:28:07.402725+00,2025-09-05 08:18:37.792159+00
95,minority,informativeFirst,4,5,true,5270e09f-e86d-46cf-86b5-ebe8ddf36c6d,2025-09-09 17:28:29.41714+00,2025-09-05 08:18:37.792159+00
96,minorityDiffusion,normativeFirst,5,5,true,a0bf9560-92d1-4cb1-8248-b2152eebb996,2025-09-09 17:33:27.533025+00,2025-09-05 08:18:37.792159+00
97,majority,informativeFirst,0,0,true,ae947f61-8ce5-456c-9663-5e29f5248f4b,2025-09-09 17:29:03.441955+00,2025-09-05 08:18:37.792159+00
98,minority,normativeFirst,1,0,true,036599a1-cd2b-44e3-bab7-cb5fba869ec8,2025-09-09 18:38:31.596699+00,2025-09-05 08:18:37.792159+00
99,minorityDiffusion,informativeFirst,2,1,true,15a24730-cdbc-4c30-ba5c-a2bb3c8683aa,2025-09-09 17:29:45.297163+00,2025-09-05 08:18:37.792159+00
100,majority,normativeFirst,3,1,true,4d1cd95f-4f3f-40ae-ab18-7f0171c8d7f7,2025-09-09 17:34:57.316273+00,2025-09-05 08:18:37.792159+00
101,minority,informativeFirst,4,2,true,95561580-6b5f-4a9c-af7c-d2d85aa29a14,2025-09-09 17:29:56.313385+00,2025-09-05 08:18:37.792159+00
102,minorityDiffusion,normativeFirst,5,2,true,329bdee7-2437-4ed2-b7e8-132722cccc01,2025-09-09 17:29:57.989889+00,2025-09-05 08:18:37.792159+00
103,majority,informativeFirst,0,3,true,c73badf7-3e8c-4394-bebd-062f9d8e2c65,2025-09-09 17:50:07.675809+00,2025-09-05 08:18:37.792159+00
104,minority,normativeFirst,1,3,true,cac93c83-183d-4a39-91da-6e4e735430b2,2025-09-09 17:31:10.224334+00,2025-09-05 08:18:37.792159+00
105,minorityDiffusion,informativeFirst,2,4,true,2e812134-90ba-44e2-b10e-f135b5c6ddd5,2025-09-09 17:33:57.240003+00,2025-09-05 08:18:37.792159+00
106,majority,normativeFirst,3,4,true,bcc249fd-32ed-4e01-86bf-c028c2287a74,2025-09-09 17:32:42.571338+00,2025-09-05 08:18:37.792159+00
107,minority,informativeFirst,4,5,true,659ac0e4-10df-4693-aaad-d97429810408,2025-09-09 17:46:40.960466+00,2025-09-05 08:18:37.792159+00
108,minorityDiffusion,normativeFirst,5,5,true,4ecb8388-2338-4007-81be-d00054e8c430,2025-09-09 17:33:17.485202+00,2025-09-05 08:18:37.792159+00
109,majority,informativeFirst,0,0,true,1e1d464b-26ac-4535-bf85-ff1dd0a686b4,2025-09-09 17:33:50.937288+00,2025-09-05 08:18:37.792159+00
110,minority,normativeFirst,1,0,true,97c14ba1-c814-4934-bf1d-21ff0650257e,2025-09-09 17:35:11.792727+00,2025-09-05 08:18:37.792159+00
111,minorityDiffusion,informativeFirst,2,1,true,4225fb9a-e135-4365-b761-b672e40539e1,2025-09-09 17:35:14.704723+00,2025-09-05 08:18:37.792159+00
112,majority,normativeFirst,3,1,true,12977f58-b35a-48bb-ba9b-643cc0379c18,2025-09-09 17:40:28.96399+00,2025-09-05 08:18:37.792159+00
113,minority,informativeFirst,4,2,true,8f9ebfca-c50d-4ed1-8314-27f04276794e,2025-09-09 18:49:32.546981+00,2025-09-05 08:18:37.792159+00
114,minorityDiffusion,normativeFirst,5,2,true,95f30d93-4281-4988-8ba2-840acccee258,2025-09-09 17:59:40.238272+00,2025-09-05 08:18:37.792159+00
115,majority,informativeFirst,0,3,true,7c8f6bfd-5a39-49ef-83db-d5f330f9b53d,2025-09-09 17:37:10.452659+00,2025-09-05 08:18:37.792159+00
116,minority,normativeFirst,1,3,true,b113d736-45f2-4708-8d0b-4ab534334126,2025-09-09 17:37:25.017388+00,2025-09-05 08:18:37.792159+00
117,minorityDiffusion,informativeFirst,2,4,true,492d89b6-d366-43d8-b3e3-3d3776f18f09,2025-09-09 17:37:36.597963+00,2025-09-05 08:18:37.792159+00
118,majority,normativeFirst,3,4,true,bcfa8ed7-049b-41a3-8758-cab44eb85c7e,2025-09-09 17:40:58.592644+00,2025-09-05 08:18:37.792159+00
119,minority,informativeFirst,4,5,true,c1160f10-3fe4-45c8-bedb-256f1b56060e,2025-09-09 17:48:57.530015+00,2025-09-05 08:18:37.792159+00
120,minorityDiffusion,normativeFirst,5,5,true,38598dd5-4b64-46e0-8bda-c1a3766ec74d,2025-09-09 17:49:00.188988+00,2025-09-05 08:18:37.792159+00
121,majority,informativeFirst,0,0,false,,,2025-09-05 08:18:37.792159+00
122,minority,normativeFirst,1,0,false,,,2025-09-05 08:18:37.792159+00
123,minorityDiffusion,informativeFirst,2,1,false,,,2025-09-05 08:18:37.792159+00
124,majority,normativeFirst,3,1,false,,,2025-09-05 08:18:37.792159+00
125,minority,informativeFirst,4,2,false,,,2025-09-05 08:18:37.792159+00
126,minorityDiffusion,normativeFirst,5,2,false,,,2025-09-05 08:18:37.792159+00