id,participant_id,key,session_order,task_content,task_type,task_index,started_at,completed_at,current_turn,current_response,current_cycle
0031c869-7a2f-444a-9e19-05f9a0361d91,97c14ba1-c814-4934-bf1d-21ff0650257e,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:37:03.446+00,,0,5,4
019f91bb-f053-4874-89b1-5941e1f945a8,f648a570-513c-4482-9932-71c78717586c,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:33:17.356+00,,0,5,4
01ecd8dc-b35e-4b6c-b36a-502b251a578e,5cc0e14d-5fe2-4447-b4ca-5994e3e10831,informative,1,Thomas Edison is famous for inventing the light bulb.,informative,4,2025-09-09 18:45:49.784+00,,0,5,4
02254b28-d04a-46af-92dd-a44e2f61748e,7b37ae66-f309-40f3-876b-534190445346,normative,1,Online meetings are more efficient than offline meetings.,normative,0,2025-09-09 17:35:21.776+00,,0,5,4
0297be0e-b893-434a-9a6d-c51fec190545,ae947f61-8ce5-456c-9663-5e29f5248f4b,informative,1,Cleopatra's lifetime was closer in time to the Moon landing than to the construction of the Great Pyramid of Giza (the Pyramid of Khufu).,informative,0,2025-09-09 17:39:05.979+00,,0,5,4
02a0ff6b-1c28-4769-83bd-2997e8beb08f,53a97c91-f20c-45e2-bb24-3de3bf2f48a9,normative,2,Short and frequent meetings are more helpful than long and infrequent meetings.,normative,5,2025-09-09 15:03:47.835+00,,0,5,4
04700d9b-4d15-4fad-b298-bf5174be7b1c,fdaeb938-314c-4e49-a47d-19672e156db3,test,0,Turning on cameras during online meetings is necessary.,test,,,,0,0,0
04a5e890-8f9a-4e95-b2a3-a5fc11915428,b8fcffcb-d710-49d0-9416-bcdbb05a9fb3,test,0,Turning on cameras during online meetings is necessary.,test,,,,0,0,0
04e57ae2-1635-42b5-a4f2-e6a8e961ae7c,c724fed7-5bb1-4e16-972d-c7dbac7ba34e,informative,2,Koalas belong to the bear family.,informative,1,2025-09-09 15:07:44.165+00,,0,5,4
067f38cc-e8b9-490c-8aab-d104089aeb4f,8f9ebfca-c50d-4ed1-8314-27f04276794e,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 18:53:21.15+00,,0,5,4
06dc8405-d415-45fc-9e9d-6b9feee1b71c,134c2569-bfe7-414e-86a0-d3b3f948f5e9,informative,2,Koalas belong to the bear family.,informative,1,2025-09-09 19:13:50.939+00,,0,5,4
0741f27b-4a7d-4a99-9cfe-6e7a895d9515,4fbd634d-a658-43dd-badb-bc2fea80cafd,informative,1,Thomas Edison is famous for inventing the light bulb.,informative,4,2025-09-09 18:06:49.076+00,,0,5,4
07507751-d350-4da0-8af4-340b63357663,5390b6eb-1261-4376-8663-e7c71c700f28,informative,2,'Chauvinist' is the correct English spelling of a word that means a blindly patriotic person.,informative,3,2025-09-09 17:31:01.489+00,,0,5,4
075c8b16-cb61-4cfe-b726-e54d5f59b94a,93c35761-c7dd-49aa-94f9-6420fc5f0b78,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:25:06.819+00,,0,5,4
07bba21e-3883-480c-b6d4-034a55b35c81,9b21942f-17c3-4406-b78e-79d5b9a591bf,informative,1,Thomas Edison is famous for inventing the light bulb.,informative,4,2025-09-09 17:59:58.959+00,,0,5,4
07e06e42-404e-48ad-a653-f32d62c40102,a2cfe6e1-7f54-4be5-96a4-40997af9bf83,test,0,Turning on cameras during online meetings is necessary.,test,,,,0,0,0
0811a7f9-90a4-4c00-8d19-48b75472cbac,2aba76f6-a5c0-48b6-8d2e-f2864685853f,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:33:25.926+00,,0,2,2
086cdff8-bf47-4230-bc2c-f3efdd755fef,32b70b37-a395-44f7-af56-31268be200c4,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 14:46:36.239+00,,0,5,4
089280ac-5e35-41f9-8a3d-5ae215545333,95561580-6b5f-4a9c-af7c-d2d85aa29a14,normative,2,It is acceptable to make a phone call inside an elevator when other people are present.,normative,2,2025-09-09 17:56:03.975+00,,0,5,4
093a0516-74ed-4e3f-9ee1-d66b4c1238c5,95561580-6b5f-4a9c-af7c-d2d85aa29a14,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:34:10.381+00,,0,5,4
097e97f9-7e6e-471f-ac9b-7fc3f12e87ee,bb3bf185-23ab-460f-8e39-e7bcd54eb3f9,normative,1,Hybrid work (remote + office) is more desirable than traditional office work.,normative,4,2025-09-09 17:27:19.725+00,,0,5,4
0ad517cc-0eb7-462c-958f-182aeb8adde8,43767e66-41d2-4d39-ab15-55bb730cb0ed,normative,1,Customers must always leave a tip at restaurants.,normative,1,2025-09-09 17:34:07.545+00,,0,5,4
0af211e1-230a-4189-b309-639e8f344f3f,93ad0c45-b342-4f90-8198-b588bced4349,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 18:00:13.589+00,,0,5,4
0b013fda-064b-48d4-90a4-37d9f2a11c79,c1490d5a-63eb-43c8-8b70-aac901fc51d7,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:55:02.196+00,,0,5,4
0b8116a6-b667-44d7-ae7d-6f80475153f1,12977f58-b35a-48bb-ba9b-643cc0379c18,informative,2,'Chauvinist' is the correct English spelling of a word that means a blindly patriotic person.,informative,3,2025-09-09 18:22:02.237+00,,0,5,4
0c8400fe-6af2-4c7c-a95d-e6762c0c5be1,d385aeea-2dd2-4f42-b57e-78a9b42f0382,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:25:10.563+00,,0,5,4
0cb7537d-ee5a-43ae-a127-e07a3b4a85be,dc4e73f1-4cf5-47ea-a5b9-d58eaaf436e3,normative,1,Online meetings are more efficient than offline meetings.,normative,0,2025-09-09 17:35:30.328+00,,0,5,4
0cd82933-d1d1-4797-985f-d32501cfa021,77c2f6c1-59bb-4529-b4bd-95947c8939bb,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:26:19.969+00,,0,5,4
0e4813bc-16b8-414d-b761-73acb928df59,929a3771-f5d2-4878-8a0f-a54e9ddd35f3,informative,2,Koalas belong to the bear family.,informative,1,2025-09-09 17:47:42.276+00,,0,5,4
0f1421d3-2b62-49ca-8e01-4497c2e56dca,918d8839-cfa1-43d5-87d8-24f1600592b6,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:22:18.911+00,,0,5,4
0f9bb217-9bb0-4d75-a4c1-338c5c0bcb00,7bbeecf7-33a6-4f95-b1f7-1b17b79f0b72,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:26:35.695+00,,0,5,4
0f9f99ca-af2a-48b0-ab57-97cfa153d346,828a3c44-961f-434e-948b-36a0dfc6cfe7,informative,2,'Chauvinist' is the correct English spelling of a word that means a blindly patriotic person.,informative,3,2025-09-09 15:33:00.029+00,,0,5,4
0fb70f62-dde1-4002-8576-04049a34f38d,5d1b61d5-a2f2-44bd-a128-edf1f61bd715,normative,2,Short and frequent meetings are more helpful than long and infrequent meetings.,normative,5,2025-09-09 17:50:44.237+00,,0,5,4
0fc93975-171c-4d1a-8c36-efd881cdebd3,a06d8bf2-816c-48a8-b4fe-03c79b290a30,informative,1,The force that causes the surface of a liquid to contract to the smallest possible area is cohesion.,informative,2,2025-09-09 17:32:35.045+00,,0,5,4
0fe71412-9d31-47be-8fa8-50bc8adc6e26,929a3771-f5d2-4878-8a0f-a54e9ddd35f3,normative,1,Honest and direct feedback is more helpful than polite and considerate feedback.,normative,3,2025-09-09 17:37:01.338+00,,0,5,4
110855f5-fadd-4e71-8d0e-b9e8effc7d55,7122b132-a5ee-45ff-8c83-464c09feedb1,test,0,Turning on cameras during online meetings is necessary.,test,,,,0,0,0
11b2fa0a-b1e9-4fd2-97d2-74a691926a4b,b8fcffcb-d710-49d0-9416-bcdbb05a9fb3,normative,1,Online meetings are more efficient than offline meetings.,normative,0,,,0,5,4
1215a2e9-1098-4635-a5f1-9d5095757c52,ae947f61-8ce5-456c-9663-5e29f5248f4b,normative,2,Online meetings are more efficient than offline meetings.,normative,0,2025-09-09 17:51:09.779+00,,0,5,4
12bda242-9b11-416c-9f86-c2aa22018fb5,511ad65b-efbc-4180-beae-8546a05a4b4e,informative,2,Napoleon's nickname was 'the little giant' because of his short height.,informative,5,2025-09-09 18:09:39.253+00,,0,2,1
15608eb1-3bc5-4d5f-a9e7-cba28718c9d3,21b14e1e-73cd-4390-af56-e404b575742d,normative,2,Online meetings are more efficient than offline meetings.,normative,0,2025-09-09 15:09:09.262+00,,0,5,4
1596bd88-8edf-4758-b81b-1c8cf405ccd3,0ddcc4f5-84cf-4232-91c2-55d084eda6e9,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:22:47.852+00,,0,5,4
16062f2e-e7fa-4253-a0e1-7ba0f5683034,b2f2cdd4-44e9-4283-b632-ff9f49664bf0,normative,1,It is acceptable to make a phone call inside an elevator when other people are present.,normative,2,2025-09-09 17:43:17.768+00,,0,3,2
16947df8-7b29-4365-a296-2680ff64f645,4a3c5081-d999-41a2-ac0f-c3be5c903638,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 14:53:38.007+00,,0,5,4
1771eabe-3c32-4564-b635-bf2f639a4b79,cac93c83-183d-4a39-91da-6e4e735430b2,normative,1,Honest and direct feedback is more helpful than polite and considerate feedback.,normative,3,2025-09-09 17:48:46.471+00,,0,5,4
17ffcefe-a931-4f47-b4e2-93610f7ccd7a,4225fb9a-e135-4365-b761-b672e40539e1,informative,1,The force that causes the surface of a liquid to contract to the smallest possible area is cohesion.,informative,2,2025-09-09 17:47:02.853+00,,0,5,4
18fac2f9-159d-4daf-a82c-fc293cbb3346,6e51d200-d884-4119-8396-68494a7ddf3f,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:27:45.646+00,,0,5,4
1a23c0a1-e0cc-424f-8966-d5f264d40dc2,a06d8bf2-816c-48a8-b4fe-03c79b290a30,normative,2,Hybrid work (remote + office) is more desirable than traditional office work.,normative,4,2025-09-09 17:43:31.944+00,,0,5,4
1a561b12-501f-4deb-a5e4-4c5445b610b8,4ef00beb-110b-4d54-9b31-ecd001440d8a,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 15:13:04.843+00,,0,5,4
1b5ba3f0-5ed4-49ee-b6d3-a6f6956e61b6,cda01786-9a32-4292-8f0d-2b2717a685d4,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:33:47.388+00,,0,5,4
1b615b7b-97d1-41ad-b05b-b195f4f5c7ea,0970deef-da21-4b37-bddf-814b4a94c050,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:29:02.805+00,,0,5,4
1bb18613-a27d-43c5-9d67-b33a9554e35c,eae01319-0414-4f8b-b125-d4487bbeda7f,informative,2,Koalas belong to the bear family.,informative,1,2025-09-09 17:49:06.069+00,,0,5,4
1bbafeaf-0147-47b1-9fb8-ca468538194a,1956d093-8877-452f-b605-d6975cedbfa9,normative,2,Online meetings are more efficient than offline meetings.,normative,0,2025-09-09 17:56:58.252+00,,0,5,4
1bf7f565-1bde-4d85-878b-a101584932fd,4a257cd1-8d04-4b90-a741-5745fa88f51a,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 14:49:08.682+00,,0,5,4
1cb05a78-6b92-4e85-ad46-3245ce6e0dbb,cef7f64b-9637-4193-bdd6-c9943b06c56a,normative,2,Honest and direct feedback is more helpful than polite and considerate feedback.,normative,3,2025-09-09 15:07:34.574+00,,0,5,4
1d25a616-9f8f-440d-89a3-ccdc0f98fd91,69268d3f-39bc-4530-924b-d854ebbd35e4,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:26:09.357+00,,0,5,4
1d38e9eb-e489-452f-8f69-4f15ff6c76aa,492d89b6-d366-43d8-b3e3-3d3776f18f09,informative,1,The force that causes the surface of a liquid to contract to the smallest possible area is cohesion.,informative,2,2025-09-09 17:49:42.68+00,,0,5,4
1ea86196-bb2f-4b7e-825d-721a19209ef2,32675228-78fc-4a45-91cb-6e2abd39ca5f,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 15:04:18.337+00,,0,5,4
1f7ef292-5367-4b6a-a1b0-66ae6d4d42a1,00f48994-a285-4631-9696-edbecccdbd14,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:25:59.145+00,,0,5,4
20211c27-8185-4f11-bc2f-90c3f5b74063,520fac17-1bfc-4435-90f5-9cde743aeceb,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:36:51.113+00,,0,5,4
202e2028-35ad-4cfb-aeea-6d5cf133b531,74c9f1d7-3521-444e-9345-c995a33dc27a,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 14:54:44.196+00,,0,5,4
215793ea-73a6-4e16-8336-b197e290e013,a070fecf-acb3-4d27-abe1-e6739b8537f3,informative,1,Thomas Edison is famous for inventing the light bulb.,informative,4,2025-09-09 17:31:20.492+00,,0,5,4
21801b8c-1ca3-4607-b42c-9cf308871380,09b9e45a-2dad-4776-8f63-9a5ff5189f5f,normative,2,Customers must always leave a tip at restaurants.,normative,1,2025-09-09 17:44:59.849+00,,0,5,4
218c368e-67ea-4ef8-bf9c-3c5cd1efe137,85df1458-9ca6-4192-8023-967795afee8f,informative,1,Cleopatra's lifetime was closer in time to the Moon landing than to the construction of the Great Pyramid of Giza (the Pyramid of Khufu).,informative,0,2025-09-09 15:26:03.493+00,,0,5,4
21b40d24-31b8-4846-a057-f4dfd1a1b990,32539ad3-ad81-4f6f-8e57-de29a6edae93,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:28:14.752+00,,0,5,4
21f65425-1d53-4508-a9c0-3b9133c007c9,8f9ebfca-c50d-4ed1-8314-27f04276794e,normative,2,It is acceptable to make a phone call inside an elevator when other people are present.,normative,2,2025-09-09 19:20:29.796+00,,0,5,4
22990a57-270f-4e6e-8b7e-241993fd1d44,2648d04c-6732-41ba-a408-acd2a3ec32e7,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 14:49:58.267+00,,0,5,4
2421bd04-54ce-4f18-8224-864e8f5eda85,84960d02-7dc3-43a3-b2e1-a945f23d90f0,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 14:51:19.994+00,,0,5,4
24cec922-68f8-4c22-8f08-89d15ebbb9e3,c1490d5a-63eb-43c8-8b70-aac901fc51d7,informative,1,The force that causes the surface of a liquid to contract to the smallest possible area is cohesion.,informative,2,,,0,0,0
24e5d968-dfc9-4d8a-92dd-12ed4f18d742,e817f2b7-c7dd-4cff-9367-138be05feaaf,normative,2,Hybrid work (remote + office) is more desirable than traditional office work.,normative,4,2025-09-09 17:45:19.322+00,,0,5,4
2625a5a7-bab3-4e8b-b46a-9c9b27019bda,eae01319-0414-4f8b-b125-d4487bbeda7f,normative,1,Online meetings are more efficient than offline meetings.,normative,0,2025-09-09 17:33:52.85+00,,0,5,4
268b8fb7-37c7-4caf-b294-ac3493415f90,38598dd5-4b64-46e0-8bda-c1a3766ec74d,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:51:19.205+00,,0,5,4
271148bb-bb1c-4d30-b3bf-1d37669fb166,e7bee9a5-10ae-426c-8b08-27934b9281bb,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:37:33.743+00,,0,5,4
2742579a-0853-45cf-935c-7279f4190b54,f3619e69-7a0a-47bd-a00f-daed6fc2ce92,informative,1,Thomas Edison is famous for inventing the light bulb.,informative,4,2025-09-09 15:17:25.345+00,,0,5,4
27f188ca-d78b-4c50-957d-ab7070c22403,873bb404-396b-4a21-bd83-ad7dd1a10af9,normative,2,Online meetings are more efficient than offline meetings.,normative,0,2025-09-09 15:11:59.01+00,,0,5,4
27ffa9ad-04d7-45eb-986a-b812b90c6994,95f30d93-4281-4988-8ba2-840acccee258,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 18:03:32.241+00,,0,5,4
283b857c-45c6-42f8-8fa1-74eb0a0d6e65,e9735720-d13d-47c9-99f1-be9ec8418a61,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:26:42.253+00,,0,5,4
28ddedf5-3a7b-4dae-b5f9-f3ccf1e230f1,8b2a2492-a113-4a39-ad28-01b1fc85db36,test,0,Turning on cameras during online meetings is necessary.,test,,,,0,0,0
28ff4900-74ac-4493-b467-2d79a684a18d,cef9291c-661f-4221-a4f2-9d8bf16fb111,informative,2,Napoleon's nickname was 'the little giant' because of his short height.,informative,5,2025-09-09 15:39:11.53+00,,0,5,4
29c9413f-4400-446d-a899-2df6a4723538,3602b073-9f84-4bd3-a681-ea302ad6a1bf,normative,1,Short and frequent meetings are more helpful than long and infrequent meetings.,normative,5,2025-09-09 14:53:50.361+00,,0,5,4
2a33b0c0-d7ea-4898-b67a-809692a32049,889464d6-cce9-4e14-8ceb-032f3a0abf0c,normative,2,It is acceptable to make a phone call inside an elevator when other people are present.,normative,2,2025-09-09 17:55:25.935+00,,0,5,4
2b6d1b38-5215-42e9-b395-356b84bfc3ae,14bf7228-fadd-491c-8cc4-c74dd4c3fba6,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:32:00.936+00,,0,5,4
2bc16d83-b400-4579-8885-5d9e5b814b35,871d350b-2da5-4cf0-8a7a-c2dc88bb4803,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 14:49:32.387+00,,0,5,4
2bec6181-6c39-4cb5-8a06-72468579e1a5,68e6e5f1-1440-4cb4-bef8-4a7009a19b5c,normative,1,Online meetings are more efficient than offline meetings.,normative,0,2025-09-09 15:15:47.206+00,,0,5,4
2db54d0e-beef-4197-923e-1888a53fc2a0,12977f58-b35a-48bb-ba9b-643cc0379c18,normative,1,Customers must always leave a tip at restaurants.,normative,1,2025-09-09 18:12:16.247+00,,0,5,4
2dce79fa-be76-45ee-ba42-25740cd37297,eda76aba-529a-4bba-a2de-ccddec750d17,informative,2,Koalas belong to the bear family.,informative,1,2025-09-09 15:05:52.829+00,,0,5,4
2ed10aad-f60d-419e-bd19-5c9c7ad04878,75db1808-af29-4ad0-bee6-29558574533b,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:23:04.683+00,,0,5,4
2f5aba19-4f84-459b-af8a-d09b81bfd494,97c14ba1-c814-4934-bf1d-21ff0650257e,informative,2,Koalas belong to the bear family.,informative,1,2025-09-09 17:48:32.583+00,,0,5,4
2faf9231-9388-4506-944d-8412c683e440,b784e7ca-736e-44db-a3f3-2cd2f86c2d68,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:21:26.511+00,,0,5,4
316258be-a85a-4b01-a5c3-f929e0b1067b,9d180490-c5b0-4d42-839f-a978a6afa540,informative,2,'Chauvinist' is the correct English spelling of a word that means a blindly patriotic person.,informative,3,2025-09-09 17:56:32.991+00,,0,5,4
32a0c2f3-71b0-4c8b-bc46-dc7e9554ace2,5d934fc1-711c-402b-ac91-17e8e7f9b263,normative,1,Customers must always leave a tip at restaurants.,normative,1,2025-09-09 15:00:49.382+00,,0,5,4
32c1b926-33e6-46d2-bafe-125ba348d0c0,d385aeea-2dd2-4f42-b57e-78a9b42f0382,normative,1,Honest and direct feedback is more helpful than polite and considerate feedback.,normative,3,2025-09-09 17:32:30.918+00,,0,5,4
3364d2fc-6f26-44cc-8fd8-fa8562063119,4f37c0a8-685a-4f8e-863c-f27a94a4236d,informative,1,The force that causes the surface of a liquid to contract to the smallest possible area is cohesion.,informative,2,2025-09-09 17:36:27.068+00,,0,5,4
34096a84-a0cc-4509-ab74-177063aa7efd,5b6a5a77-da0a-4cc4-b5fe-dbf17496f7df,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 14:50:14.741+00,,0,5,4
341097c7-91e3-43cd-b15d-9c0fab24db47,206652aa-efa6-46bb-8a66-bc2718a52ce6,informative,1,Thomas Edison is famous for inventing the light bulb.,informative,4,2025-09-09 18:07:22.983+00,,0,5,4
34eb95cb-2152-4cc5-bd49-51aa4616b46f,cfff5380-ac7a-474b-b789-c9210b78dd2b,informative,2,'Chauvinist' is the correct English spelling of a word that means a blindly patriotic person.,informative,3,2025-09-09 15:24:24.581+00,,0,5,4
355bc312-a3a1-4caf-930d-cb684ec53481,07d88852-7da1-4eaa-9413-468d15f8dc10,informative,1,The force that causes the surface of a liquid to contract to the smallest possible area is cohesion.,informative,2,2025-09-09 17:31:11.989+00,,0,5,4
36d2d294-5b65-4dac-ace6-aeafa83eeacf,492d89b6-d366-43d8-b3e3-3d3776f18f09,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:40:57.661+00,,0,5,4
3712d1e7-dbb1-4118-a508-bb453c78905d,95561580-6b5f-4a9c-af7c-d2d85aa29a14,informative,1,Thomas Edison is famous for inventing the light bulb.,informative,4,2025-09-09 17:43:17.25+00,,0,5,4
37166ac3-4e0f-41ab-923d-1e5dbafe26fa,f3619e69-7a0a-47bd-a00f-daed6fc2ce92,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 15:10:39.422+00,,0,5,4
3977ce78-739b-49b3-9f1d-1774470b1dcf,b121bfe8-f8b7-48fc-af14-f99c15aedc62,normative,2,Short and frequent meetings are more helpful than long and infrequent meetings.,normative,5,2025-09-09 15:55:37.196+00,,0,5,4
3a942b03-1005-4a14-9730-d9af74026603,7bbeecf7-33a6-4f95-b1f7-1b17b79f0b72,informative,2,Koalas belong to the bear family.,informative,1,2025-09-09 17:44:33.41+00,,0,5,4
3b16926f-7112-482c-8efd-7ce324eb5c8a,c1490d5a-63eb-43c8-8b70-aac901fc51d7,informative,1,The force that causes the surface of a liquid to contract to the smallest possible area is cohesion.,informative,2,2025-09-09 18:07:39.599+00,,0,5,4
3bd40fd5-f6ce-441c-9314-7032923c9c7b,00f48994-a285-4631-9696-edbecccdbd14,informative,1,The force that causes the surface of a liquid to contract to the smallest possible area is cohesion.,informative,2,2025-09-09 17:32:08.488+00,,0,5,4
3bdabed9-372d-4ded-ad76-e8e72efcbd5c,93c35761-c7dd-49aa-94f9-6420fc5f0b78,informative,2,Napoleon's nickname was 'the little giant' because of his short height.,informative,5,2025-09-09 17:40:56.8+00,,0,5,4
3c9ed60c-e0c4-4cf1-b724-cbc81fd9caf1,5d934fc1-711c-402b-ac91-17e8e7f9b263,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 14:52:15.985+00,,0,5,4
3da42e96-d626-4a9a-bb31-bed225fc2667,eae01319-0414-4f8b-b125-d4487bbeda7f,test,0,Turning on cameras during online meetings is necessary.,test,,2025-09-09 17:25:44.097+00,,0,5,4
3f30aab8-f45c-4531-bea8-d3a0323ab1ff,6ae81c9a-e082-4873-ae39-7c0f54a06c50,normative,2,Short and frequent meetings are more helpful than long and infrequent meetings.,normative,5,2025-09-09 17:50:42.232+00,,0,5,4
3ff391a0-5b26-4e7a-845a-c219ee2ff3ea,dc4e73f1-4cf5-47ea-a5b9-d58eaaf436e3,informative,2,Koalas belong to the bear family.,informative,1,2025-09-09 17:51:58.808+00,,0,5,4
4031962c-9638-4192-86f9-47e6374f8e8b,7828fa6e-2064-4d65-a533-7b743e1b3430,normative,2,Honest and direct feedback is more helpful than polite and considerate feedback.,normative,3,2025-09-09 17:51:52.941+00,,0,5,4
404dc80e-2e42-46c2-b081-b3720682a861,3794c56c-dffa-48cd-b926-e7a6b094f258,informative,2,'Chauvinist' is the correct English spelling of a word that means a blindly patriotic person.,informative,3,2025-09-09 15:21:33.084+00,,0,5,4
