"task_type","conf_traj_group","participant_no"
"Normative","always_pos",2
"Normative","always_pos",3
"Normative","always_pos",4
"Normative","always_pos",6
"Normative","always_pos",7
"Normative","always_pos",8
"Normative","always_pos",11
"Normative","always_pos",12
"Normative","always_pos",13
"Normative","always_pos",14
"Normative","always_pos",20
"Normative","always_pos",27
"Normative","always_pos",31
"Normative","always_pos",32
"Normative","always_pos",36
"Normative","always_pos",37
"Normative","always_pos",38
"Normative","always_pos",39
"Normative","always_pos",41
"Normative","always_pos",43
"Normative","always_pos",44
"Normative","always_pos",45
"Normative","always_pos",48
"Normative","always_pos",50
"Normative","always_pos",51
"Normative","always_pos",55
"Normative","always_pos",56
"Normative","always_pos",60
"Normative","always_pos",61
"Normative","always_pos",63
"Normative","always_pos",64
"Normative","always_pos",65
"Normative","always_pos",66
"Normative","always_pos",69
"Normative","always_pos",70
"Normative","always_pos",73
"Normative","always_pos",74
"Normative","always_pos",75
"Normative","always_pos",81
"Normative","always_pos",86
"Normative","always_pos",90
"Normative","always_pos",95
"Normative","always_pos",96
"Normative","always_pos",97
"Normative","always_pos",98
"Normative","always_pos",100
"Normative","always_pos",101
"Normative","always_pos",103
"Normative","always_pos",104
"Normative","always_pos",105
"Normative","always_pos",119
"Normative","always_pos",120
"Normative","always_pos",121
"Normative","always_pos",124
"Normative","always_pos",126
"Normative","always_pos",127
"Normative","always_neg",5
"Normative","always_neg",23
"Normative","always_neg",79
"Normative","always_neg",125
"Normative","mixed",1
"Normative","mixed",9
"Normative","mixed",10
"Normative","mixed",15
"Normative","mixed",16
"Normative","mixed",17
"Normative","mixed",18
"Normative","mixed",19
"Normative","mixed",21
"Normative","mixed",22
"Normative","mixed",24
"Normative","mixed",25
"Normative","mixed",26
"Normative","mixed",28
"Normative","mixed",29
"Normative","mixed",30
"Normative","mixed",33
"Normative","mixed",34
"Normative","mixed",35
"Normative","mixed",40
"Normative","mixed",42
"Normative","mixed",46
"Normative","mixed",47
"Normative","mixed",49
"Normative","mixed",52
"Normative","mixed",53
"Normative","mixed",54
"Normative","mixed",57
"Normative","mixed",58
"Normative","mixed",59
"Normative","mixed",62
"Normative","mixed",67
"Normative","mixed",68
"Normative","mixed",71
"Normative","mixed",72
"Normative","mixed",76
"Normative","mixed",77
"Normative","mixed",78
"Normative","mixed",80
"Normative","mixed",82
"Normative","mixed",83
"Normative","mixed",84
"Normative","mixed",85
"Normative","mixed",87
"Normative","mixed",88
"Normative","mixed",89
"Normative","mixed",91
"Normative","mixed",92
"Normative","mixed",93
"Normative","mixed",94
"Normative","mixed",99
"Normative","mixed",102
"Normative","mixed",106
"Normative","mixed",107
"Normative","mixed",108
"Normative","mixed",109
"Normative","mixed",110
"Normative","mixed",111
"Normative","mixed",112
"Normative","mixed",113
"Normative","mixed",114
"Normative","mixed",115
"Normative","mixed",116
"Normative","mixed",117
"Normative","mixed",118
"Normative","mixed",122
"Normative","mixed",123
"Informative","always_pos",1
"Informative","always_pos",4
"Informative","always_pos",5
"Informative","always_pos",6
"Informative","always_pos",7
"Informative","always_pos",8
"Informative","always_pos",10
"Informative","always_pos",15
"Informative","always_pos",16
"Informative","always_pos",18
"Informative","always_pos",25
"Informative","always_pos",26
"Informative","always_pos",27
"Informative","always_pos",28
"Informative","always_pos",31
"Informative","always_pos",33
"Informative","always_pos",34
"Informative","always_pos",35
"Informative","always_pos",42
"Informative","always_pos",46
"Informative","always_pos",49
"Informative","always_pos",53
"Informative","always_pos",55
"Informative","always_pos",56
"Informative","always_pos",60
"Informative","always_pos",61
"Informative","always_pos",63
"Informative","always_pos",66
"Informative","always_pos",68
"Informative","always_pos",73
"Informative","always_pos",74
"Informative","always_pos",78
"Informative","always_pos",85
"Informative","always_pos",89
"Informative","always_pos",93
"Informative","always_pos",95
"Informative","always_pos",99
"Informative","always_pos",100
"Informative","always_pos",102
"Informative","always_pos",103
"Informative","always_pos",110
"Informative","always_pos",114
"Informative","always_pos",120
"Informative","always_pos",121
"Informative","always_pos",124
"Informative","always_pos",125
"Informative","always_pos",126
"Informative","always_neg",2
"Informative","always_neg",82
"Informative","always_neg",88
"Informative","always_neg",106
"Informative","always_neg",111
"Informative","mixed",3
"Informative","mixed",9
"Informative","mixed",11
"Informative","mixed",12
"Informative","mixed",13
"Informative","mixed",14
"Informative","mixed",17
"Informative","mixed",19
"Informative","mixed",20
"Informative","mixed",21
"Informative","mixed",22
"Informative","mixed",23
"Informative","mixed",24
"Informative","mixed",29
"Informative","mixed",30
"Informative","mixed",32
"Informative","mixed",36
"Informative","mixed",37
"Informative","mixed",38
"Informative","mixed",39
"Informative","mixed",40
"Informative","mixed",41
"Informative","mixed",43
"Informative","mixed",44
"Informative","mixed",45
"Informative","mixed",47
"Informative","mixed",48
"Informative","mixed",50
"Informative","mixed",51
"Informative","mixed",52
"Informative","mixed",54
"Informative","mixed",57
"Informative","mixed",58
"Informative","mixed",59
"Informative","mixed",62
"Informative","mixed",64
"Informative","mixed",65
"Informative","mixed",67
"Informative","mixed",69
"Informative","mixed",70
"Informative","mixed",71
"Informative","mixed",72
"Informative","mixed",75
"Informative","mixed",76
"Informative","mixed",77
"Informative","mixed",79
"Informative","mixed",80
"Informative","mixed",81
"Informative","mixed",83
"Informative","mixed",84
"Informative","mixed",86
"Informative","mixed",87
"Informative","mixed",90
"Informative","mixed",91
"Informative","mixed",92
"Informative","mixed",94
"Informative","mixed",96
"Informative","mixed",97
"Informative","mixed",98
"Informative","mixed",101
"Informative","mixed",104
"Informative","mixed",105
"Informative","mixed",107
"Informative","mixed",108
"Informative","mixed",109
"Informative","mixed",112
"Informative","mixed",113
"Informative","mixed",115
"Informative","mixed",116
"Informative","mixed",117
"Informative","mixed",118
"Informative","mixed",119
"Informative","mixed",122
"Informative","mixed",123
"Informative","mixed",127
